number,text,numberInSurah,surah_number,surah_name,englishName,englishNameTranslation,revelationType,UrduTranslation,UrduTafseer,EnglishTranslation,Englishtafseer,SindhiTranslation,SindhiTafseer,HindiTranslation,HindiTafseer,PushtoTransation,PushtoTafseer
1,﻿بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,1,1,سُورَةُ ٱلْفَاتِحَةِ,Al-Faatiha,The Opening,Meccan,1-1- Urdu Translation: ,1-1- Urdu Tafseer: ,1-1- English Translation: ,1-1- English Tafseer: ,1-1- Sindhi Translation: ,1-1- Sindhi Tafseer:,1-1- Hindi Translation: ,1-1- Hindi Tafseer: ,1-1- Pushto Translation: ,1-1- Pushto Tafseer: 
2,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ,2,1,سُورَةُ ٱلْفَاتِحَةِ,Al-Faatiha,The Opening,Meccan,1-2- Urdu Translation: ,1-2- Urdu Tafseer: ,1-2- English Translation: ,1-2- English Tafseer: ,1-2- Sindhi Translation: ,1-2- Sindhi Tafseer:,1-2- Hindi Translation: ,1-2- Hindi Tafseer: ,1-2- Pushto Translation: ,1-2- Pushto Tafseer: 
3,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,3,1,سُورَةُ ٱلْفَاتِحَةِ,Al-Faatiha,The Opening,Meccan,1-3- Urdu Translation: ,1-3- Urdu Tafseer: ,1-3- English Translation: ,1-3- English Tafseer: ,1-3- Sindhi Translation: ,1-3- Sindhi Tafseer:,1-3- Hindi Translation: ,1-3- Hindi Tafseer: ,1-3- Pushto Translation: ,1-3- Pushto Tafseer: 
4,مَٰلِكِ يَوْمِ ٱلدِّينِ,4,1,سُورَةُ ٱلْفَاتِحَةِ,Al-Faatiha,The Opening,Meccan,1-4- Urdu Translation: ,1-4- Urdu Tafseer: ,1-4- English Translation: ,1-4- English Tafseer: ,1-4- Sindhi Translation: ,1-4- Sindhi Tafseer:,1-4- Hindi Translation: ,1-4- Hindi Tafseer: ,1-4- Pushto Translation: ,1-4- Pushto Tafseer: 
5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,5,1,سُورَةُ ٱلْفَاتِحَةِ,Al-Faatiha,The Opening,Meccan,1-5- Urdu Translation: ,1-5- Urdu Tafseer: ,1-5- English Translation: ,1-5- English Tafseer: ,1-5- Sindhi Translation: ,1-5- Sindhi Tafseer:,1-5- Hindi Translation: ,1-5- Hindi Tafseer: ,1-5- Pushto Translation: ,1-5- Pushto Tafseer: 
6,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,6,1,سُورَةُ ٱلْفَاتِحَةِ,Al-Faatiha,The Opening,Meccan,1-6- Urdu Translation: ,1-6- Urdu Tafseer: ,1-6- English Translation: ,1-6- English Tafseer: ,1-6- Sindhi Translation: ,1-6- Sindhi Tafseer:,1-6- Hindi Translation: ,1-6- Hindi Tafseer: ,1-6- Pushto Translation: ,1-6- Pushto Tafseer: 
7,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,7,1,سُورَةُ ٱلْفَاتِحَةِ,Al-Faatiha,The Opening,Meccan,1-7- Urdu Translation: ,1-7- Urdu Tafseer: ,1-7- English Translation: ,1-7- English Tafseer: ,1-7- Sindhi Translation: ,1-7- Sindhi Tafseer:,1-7- Hindi Translation: ,1-7- Hindi Tafseer: ,1-7- Pushto Translation: ,1-7- Pushto Tafseer: 
8,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ الٓمٓ,1,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-1- Urdu Translation: ,2-1- Urdu Tafseer: ,2-1- English Translation: ,2-1- English Tafseer: ,2-1- Sindhi Translation: ,2-1- Sindhi Tafseer:,2-1- Hindi Translation: ,2-1- Hindi Tafseer: ,2-1- Pushto Translation: ,2-1- Pushto Tafseer: 
9,ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًۭى لِّلْمُتَّقِينَ,2,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-2- Urdu Translation: ,2-2- Urdu Tafseer: ,2-2- English Translation: ,2-2- English Tafseer: ,2-2- Sindhi Translation: ,2-2- Sindhi Tafseer:,2-2- Hindi Translation: ,2-2- Hindi Tafseer: ,2-2- Pushto Translation: ,2-2- Pushto Tafseer: 
10,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ,3,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-3- Urdu Translation: ,2-3- Urdu Tafseer: ,2-3- English Translation: ,2-3- English Tafseer: ,2-3- Sindhi Translation: ,2-3- Sindhi Tafseer:,2-3- Hindi Translation: ,2-3- Hindi Tafseer: ,2-3- Pushto Translation: ,2-3- Pushto Tafseer: 
